Date,Product,Quantity,Price,Customer_ID,Region,Total_Sales
01-01-2024,Phone,7,37300,CUST001,East,261100
02-01-2024,Headphones,4,15406,CUST002,North,61624
03-01-2024,Phone,2,21746,CUST003,West,43492
04-01-2024,Headphones,1,30895,CUST004,East,30895
05-01-2024,Laptop,8,39835,CUST005,North,318680
06-01-2024,Laptop,7,40420,CUST006,South,282940
07-01-2024,Laptop,9,40430,CUST007,South,363870
08-01-2024,Laptop,7,7262,CUST008,West,50834
09-01-2024,Tablet,3,32791,CUST009,North,98373
10-01-2024,Laptop,4,45023,CUST010,West,180092
11-01-2024,Monitor,8,6160,CUST011,West,49280
12-01-2024,Phone,2,13233,CUST012,West,26466
13-01-2024,Phone,8,20655,CUST013,East,165240
14-01-2024,Headphones,4,4195,CUST014,East,16780
15-01-2024,Headphones,2,34447,CUST015,West,68894
16-01-2024,Phone,9,41548,CUST016,South,373932
17-01-2024,Phone,5,13488,CUST017,South,67440
18-01-2024,Tablet,4,19322,CUST018,North,77288
19-01-2024,Tablet,1,44045,CUST019,West,44045
20-01-2024,Laptop,8,41749,CUST020,North,333992
21-01-2024,Laptop,3,36518,CUST021,East,109554
22-01-2024,Tablet,2,6713,CUST022,West,13426
23-01-2024,Laptop,9,29275,CUST023,North,263475
24-01-2024,Headphones,1,17838,CUST024,West,17838
25-01-2024,Monitor,2,9191,CUST025,West,18382
26-01-2024,Laptop,3,25948,CUST026,North,77844
27-01-2024,Tablet,1,38298,CUST027,North,38298
28-01-2024,Tablet,7,43495,CUST028,North,304465
29-01-2024,Headphones,1,45467,CUST029,North,45467
30-01-2024,Tablet,9,11902,CUST030,North,107118
31-01-2024,Tablet,6,34900,CUST031,East,209400
01-02-2024,Phone,4,16997,CUST032,South,67988
02-02-2024,Tablet,3,20696,CUST033,South,62088
03-02-2024,Tablet,2,48602,CUST034,East,97204
04-02-2024,Tablet,6,4339,CUST035,South,26034
05-02-2024,Tablet,4,45515,CUST036,East,182060
06-02-2024,Phone,5,40177,CUST037,North,200885
07-02-2024,Monitor,8,19256,CUST038,East,154048
08-02-2024,Monitor,1,39924,CUST039,South,39924
09-02-2024,Phone,4,11494,CUST040,South,45976
10-02-2024,Monitor,1,20083,CUST041,West,20083
11-02-2024,Phone,1,18616,CUST042,West,18616
12-02-2024,Tablet,6,43350,CUST043,West,260100
13-02-2024,Monitor,4,43428,CUST044,West,173712
14-02-2024,Phone,2,40244,CUST045,East,80488
15-02-2024,Tablet,2,11032,CUST046,West,22064
16-02-2024,Phone,6,29499,CUST047,North,176994
17-02-2024,Monitor,1,6720,CUST048,West,6720
18-02-2024,Laptop,1,32297,CUST049,South,32297
19-02-2024,Laptop,4,43848,CUST050,West,175392
20-02-2024,Phone,9,15160,CUST051,West,136440
21-02-2024,Headphones,1,32524,CUST052,West,32524
22-02-2024,Monitor,6,24160,CUST053,North,144960
23-02-2024,Tablet,5,1308,CUST054,North,6540
24-02-2024,Tablet,7,4341,CUST055,South,30387
25-02-2024,Phone,3,37135,CUST056,North,111405
26-02-2024,Monitor,6,37055,CUST057,East,222330
27-02-2024,Monitor,2,5272,CUST058,East,10544
28-02-2024,Laptop,5,15475,CUST059,South,77375
29-02-2024,Headphones,3,13624,CUST060,South,40872
01-03-2024,Tablet,5,29840,CUST061,North,149200
02-03-2024,Laptop,8,19661,CUST062,South,157288
03-03-2024,Monitor,9,24224,CUST063,East,218016
04-03-2024,Laptop,5,17924,CUST064,West,89620
05-03-2024,Phone,7,44652,CUST065,South,312564
06-03-2024,Laptop,8,14381,CUST066,North,115048
07-03-2024,Headphones,2,44487,CUST067,East,88974
08-03-2024,Laptop,3,34303,CUST068,North,102909
09-03-2024,Tablet,3,23229,CUST069,North,69687
10-03-2024,Laptop,9,35418,CUST070,South,318762
11-03-2024,Phone,4,34843,CUST071,West,139372
12-03-2024,Headphones,8,18964,CUST072,East,151712
13-03-2024,Headphones,7,49930,CUST073,West,349510
14-03-2024,Tablet,4,17512,CUST074,South,70048
15-03-2024,Monitor,6,23381,CUST075,North,140286
16-03-2024,Phone,5,16596,CUST076,South,82980
17-03-2024,Laptop,7,2603,CUST077,South,18221
18-03-2024,Tablet,9,26110,CUST078,East,234990
19-03-2024,Tablet,9,19425,CUST079,North,174825
20-03-2024,Phone,4,49101,CUST080,South,196404
21-03-2024,Laptop,4,28098,CUST081,East,112392
22-03-2024,Headphones,2,48769,CUST082,South,97538
23-03-2024,Laptop,8,43861,CUST083,North,350888
24-03-2024,Phone,8,40518,CUST084,South,324144
25-03-2024,Laptop,3,7455,CUST085,South,22365
26-03-2024,Monitor,7,11591,CUST086,North,81137
27-03-2024,Tablet,4,3839,CUST087,West,15356
28-03-2024,Phone,6,4578,CUST088,West,27468
29-03-2024,Laptop,6,38037,CUST089,North,228222
30-03-2024,Monitor,4,9483,CUST090,East,37932
31-03-2024,Laptop,1,7148,CUST091,North,7148
01-04-2024,Tablet,5,30531,CUST092,South,152655
02-04-2024,Headphones,6,42813,CUST093,South,256878
03-04-2024,Laptop,6,16667,CUST094,South,100002
04-04-2024,Tablet,7,19507,CUST095,West,136549
05-04-2024,Tablet,8,20770,CUST096,North,166160
06-04-2024,Headphones,1,7647,CUST097,West,7647
07-04-2024,Tablet,5,27196,CUST098,East,135980
08-04-2024,Monitor,1,30717,CUST099,North,30717
09-04-2024,Headphones,5,23376,CUST100,South,116880
